result,year,genres,views,spotify_name,spotify_artist
Let's Stick Together,0,"['Rhythm and blues', 'Glam rock']",23760,Let's Stick Together,Bryan Ferry
Ever Fallen in Love (With Someone You Shouldn't've),1978,"['Punk rock', 'Pop punk', 'Power pop']",29912,Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,Buzzcocks
None,0,[],0,Rhayader,Camel
Vitamin C,0,[],530093,Vitamin C,CAN
Kung Fu Fighting,1974,['Disco'],75966,Kung Fu Fighting,Carl Douglas
You're So Vain,1972,"['Pop music', 'Soft rock']",210845,You're so Vain,Carly Simon
I Feel the Earth Move,1971,['Pop rock'],25374,I Feel the Earth Move,Carole King
It's Too Late (Carole King song),1971,"['Soft rock', 'Doo-wop']",31882,It's Too Late,Carole King
So Far Away (Carole King song),1971,"['Folk rock', 'Soft rock']",15488,So Far Away,Carole King
Superstar (Delaney and Bonnie song),1969,"['Adult contemporary', 'Pop rock', 'Soft rock']",38029,Superstar,Carpenters
We've Only Just Begun,1970,"['Soft rock', 'Traditional pop']",36930,We've Only Just Begun,Carpenters
(They Long to Be) Close to You,1970,"['Pop music', 'Soft rock']",61795,(They Long To Be) Close To You,Carpenters
Top of the World (Carpenters song),1973,['Country pop'],0,Top Of The World,Carpenters
Rainy Days and Mondays,1971,['Pop music'],19725,Rainy Days And Mondays,Carpenters
Yesterday Once More (song),1973,['Pop music'],23431,Yesterday Once More,Carpenters
Just What I Needed,1978,"['New wave music', 'Power pop', 'Hard rock']",29987,Just What I Needed,The Cars
None,0,[],0,Sad Lisa,Yusuf / Cat Stevens
Wild World (song),1970,['Folk rock'],59134,Wild World,Yusuf / Cat Stevens
Morning Has Broken,0,[],76547,Morning Has Broken,Yusuf / Cat Stevens
Father and Son (song),1970,['Folk rock'],104052,Father And Son,Yusuf / Cat Stevens
Supernature (Cerrone III),0,['Disco'],6712,Supernature,Cerrone
I'm Every Woman,1978,['Disco'],58082,I'm Every Woman,Chaka Khan
She (Charles Aznavour song),1974,['Pop music'],48067,Tous les visages de l'amour,Charles Aznavour
The Devil Went Down to Georgia,1979,"['Bluegrass music', 'Country music', 'Country rock']",116636,The Devil Went Down to Georgia,The Charlie Daniels Band
The Most Beautiful Girl,1973,['Country music'],18480,The Most Beautiful Girl,Charlie Rich
I Want Your Love (Chic song),1979,['Disco'],17422,I Want Your Love - 2018 Remaster,CHIC
Good Times (Chic song),1979,['Disco'],40438,Good Times,CHIC
Le Freak,1978,"['Disco', 'Funk']",63459,Le Freak,CHIC
If You Leave Me Now,1976,['Soft rock'],48129,If You Leave Me Now,Chicago
Son of My Father,1972,"['Glam rock', 'Electronic music']",11103,Son Of My Father,Chicory Tip
Fool (If You Think It's Over),1978,['Soft rock'],17491,Fool (If You Think It's Over),Chris Rea
Yellow River (song),1970,['Pop rock'],21312,Yellow River,Christie
I Fought the Law,1960,['Rock and roll'],80188,I Fought the Law,The Clash
London Calling,0,"['Post-punk', 'Punk rock']",176180,London Calling - Remastered,The Clash
Brick House (song),1977,['Funk'],47740,Brick House,Commodores
Easy (Commodores song),1977,['Soul music'],82543,Easy,Commodores
Have You Ever Seen the Rain?,1971,"['Roots rock', 'Country rock']",107193,Have You Ever Seen The Rain,Creedence Clearwater Revival
"Our House (Crosby, Stills, Nash & Young song)",1970,"['Baroque pop', 'Soft rock', 'Folk rock']",38470,Our House,"Crosby, Stills, Nash & Young"
"Ohio (Crosby, Stills, Nash & Young song)",1970,['Hard rock'],70644,Ohio,"Crosby, Stills, Nash & Young"
Helplessly Hoping,1969,['Folk rock'],19265,Helplessly Hoping,"Crosby, Stills & Nash"
Boys Don't Cry (The Cure album),0,['Post-punk'],66657,Boys Don't Cry,The Cure
